customer_id,gender,is_senior,has_partner,has_dependents,months_as_customer,has_phone_service,has_multiple_lines,primary_product,has_security_product,has_backup_product,has_protection_plan,has_support_plan,has_streaming_tv,has_streaming_movies,account_type,is_paperless,payment_method,monthly_transaction_volume,total_transaction_volume,churned,revenue_per_month,charge_consistency,is_high_value,is_early_stage,tenure_group,product_adoption_score,is_multi_product,is_autopay
7469-LKBCI,Male,0,0,0,16,1,No,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),18.95,326.8,0,20.42,0.928,0,0,growing,0,0,1
8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,0,0,1,0,1,1,One year,0,Credit card (automatic),100.35,5681.1,0,97.95,1.0245,1,0,loyal,3,1,1
0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,102.78,1.009,1,0,loyal,4,1,1
5129-JLPIS,Male,0,0,0,25,1,No,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Electronic check,105.5,2686.05,0,107.44,0.9819,1,0,established,5,1,0
3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),113.25,7895.15,0,114.42,0.9898,1,0,loyal,6,1,1
8191-XWSZG,Female,0,0,0,52,1,No,No,0,0,0,0,0,0,One year,0,Mailed check,20.65,1022.95,0,19.67,1.0498,0,0,loyal,0,0,0
9959-WOFKT,Male,0,0,1,71,1,Yes,Fiber optic,1,0,1,0,1,1,Two year,0,Bank transfer (automatic),106.7,7382.25,0,103.98,1.0262,1,0,loyal,4,1,1
4190-MFLUW,Female,0,1,1,10,1,No,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1,52.84,1.0447,0,1,early,2,0,1
4183-MYFRB,Female,0,0,0,21,1,No,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,90.05,1862.9,0,88.71,1.0151,1,0,growing,3,1,0
8779-QRDMV,Male,1,0,0,1,0,No phone service,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,1.0,0,1,early,2,0,0
1680-VDCWW,Male,0,1,0,12,1,No,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,202.25,0,16.85,1.1751,0,1,early,0,0,1
1066-JKSGK,Male,0,0,0,1,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,1.0,0,1,early,0,0,0
3638-WEABW,Female,0,1,0,58,1,Yes,DSL,0,1,0,1,0,0,Two year,1,Credit card (automatic),59.9,3505.1,0,60.43,0.9912,0,0,loyal,2,0,1
6322-HRPFA,Male,0,1,1,49,1,No,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,60.62,0.9832,0,0,loyal,3,1,1
6865-JZNKO,Female,0,0,0,30,1,No,DSL,1,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,51.02,1.0839,0,0,established,2,0,1
6467-CHFZW,Male,0,1,1,47,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,101.05,0.9832,1,0,established,3,1,0
8665-UTDHZ,Male,0,1,1,1,0,No phone service,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,1.0,0,1,early,1,0,0
5248-YGIJN,Male,0,1,0,72,1,Yes,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),90.25,6369.45,0,88.46,1.0202,1,0,loyal,6,1,1
8773-HHUOZ,Female,0,0,1,17,1,No,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,64.3,1.0062,0,0,growing,2,0,0
3841-NFECX,Female,1,1,0,71,1,Yes,Fiber optic,1,1,1,1,0,0,Two year,1,Credit card (automatic),96.35,6766.95,0,95.31,1.0109,1,0,loyal,4,1,1
4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),95.5,181.65,0,90.82,1.0515,1,1,early,3,1,1
6827-IEAUQ,Female,0,1,1,27,1,No,DSL,1,1,1,1,0,0,One year,0,Mailed check,66.15,1874.45,0,69.42,0.9529,0,0,established,4,1,0
7310-EGVHZ,Male,0,0,0,1,1,No,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,20.2,1.0,0,1,early,0,0,1
3413-BMNZE,Male,1,0,0,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,45.25,1.0,0,1,early,0,0,1
6234-RAAPL,Female,0,1,1,72,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,0,Bank transfer (automatic),99.9,7251.7,0,100.72,0.9919,1,0,loyal,4,1,1
6047-YHPVI,Male,0,0,0,5,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,63.38,1.0997,0,1,early,0,0,0
6572-ADKRS,Female,0,0,0,46,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,77.14,0.9697,0,0,established,1,0,1
5380-WJKOV,Male,0,0,0,34,1,Yes,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,104.39,1.0188,1,0,established,4,1,0
8168-UQWWF,Female,0,0,0,11,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,100.49,0.9737,1,1,early,3,1,1
8865-TNMNX,Male,0,1,1,10,1,No,DSL,0,1,0,0,0,0,One year,0,Mailed check,49.55,475.7,0,47.57,1.0416,0,1,early,1,0,0
9489-DEDVP,Female,0,1,1,70,1,Yes,DSL,1,1,0,0,1,0,Two year,1,Credit card (automatic),69.2,4872.35,0,69.6,0.9943,0,0,loyal,3,1,1
9867-JCZSP,Female,0,1,1,17,1,No,No,0,0,0,0,0,0,One year,0,Mailed check,20.75,418.25,0,24.6,0.8435,0,0,growing,0,0,0
4671-VJLCL,Female,0,0,0,63,1,Yes,DSL,1,1,1,1,1,0,Two year,1,Credit card (automatic),79.85,4861.45,0,77.17,1.0347,0,0,loyal,5,1,1
4080-IIARD,Female,0,1,0,13,1,Yes,DSL,1,1,0,1,1,0,Month-to-month,1,Electronic check,76.2,981.45,0,75.5,1.0093,0,0,growing,4,1,0
3714-NTNFO,Female,0,0,0,49,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.5,3906.7,0,79.73,1.0598,0,0,loyal,1,0,0
5948-UJZLF,Male,0,0,0,2,1,No,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.25,97.0,0,48.5,1.0155,0,1,early,1,0,0
7760-OYPDY,Female,0,0,0,2,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,72.08,1.1189,0,1,early,1,0,0
7639-LIAYI,Male,0,0,0,52,1,Yes,DSL,1,0,0,1,1,1,Two year,1,Credit card (automatic),79.75,4217.8,0,81.11,0.9832,0,0,loyal,4,1,1
2954-PIBKO,Female,0,1,1,69,1,Yes,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),64.15,4254.1,0,61.65,1.0406,0,0,loyal,3,1,1
8012-SOUDQ,Female,1,0,0,43,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,90.25,3838.75,0,89.27,1.011,1,0,established,2,0,0
9420-LOJKX,Female,0,0,0,15,1,No,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,95.09,1.0422,1,0,growing,4,1,1
6575-SUVOI,Female,1,1,0,25,1,Yes,DSL,1,0,0,1,1,0,Month-to-month,1,Credit card (automatic),69.5,1752.65,0,70.11,0.9913,0,0,established,3,1,1
7495-OOKFY,Female,1,1,0,8,1,Yes,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,79.16,1.0188,0,1,early,1,0,1
4667-QONEA,Female,1,1,1,60,1,No,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),74.85,4456.35,0,74.27,1.0078,0,0,loyal,5,1,1
1658-BYGOY,Male,1,0,0,18,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,1752.55,1,97.36,0.9804,1,0,growing,2,0,0
8769-KKTPH,Female,0,1,1,63,1,Yes,Fiber optic,1,0,0,0,1,1,One year,1,Credit card (automatic),99.65,6311.2,0,100.18,0.9947,1,0,loyal,3,1,1
5067-XJQFU,Male,1,1,1,66,1,Yes,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,108.45,7076.35,0,107.22,1.0115,1,0,loyal,5,1,0
3957-SQXML,Female,0,1,1,34,1,Yes,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.95,894.3,0,26.3,0.9487,0,0,established,0,0,1
5954-BDFSG,Female,0,0,0,72,1,Yes,Fiber optic,0,0,1,1,1,1,Two year,1,Credit card (automatic),107.5,7853.7,0,109.08,0.9855,1,0,loyal,4,1,1
0434-CSFON,Female,0,1,0,47,1,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,4707.1,0,100.15,1.0035,1,0,established,3,1,0
1215-FIGMP,Male,0,0,0,60,1,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0,90.84,0.9897,1,0,loyal,2,0,1
0526-SXDJP,Male,0,1,0,72,0,No phone service,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),42.1,2962.0,0,41.14,1.0233,0,0,loyal,3,1,1
0557-ASKVU,Female,0,1,1,18,1,No,DSL,0,0,1,1,0,0,One year,1,Credit card (automatic),54.4,957.1,0,53.17,1.0231,0,0,growing,2,0,1
5698-BQJOH,Female,0,0,0,9,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,94.4,857.25,1,95.25,0.9911,1,1,early,2,0,0
5122-CYFXA,Female,0,0,0,3,1,No,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,75.3,244.1,0,81.37,0.9254,0,1,early,4,1,0
8627-ZYGSZ,Male,0,1,0,47,1,Yes,Fiber optic,0,1,0,0,0,0,One year,1,Electronic check,78.9,3650.35,0,77.67,1.0158,0,0,established,1,0,0
3410-YOQBQ,Female,0,0,0,31,1,No,DSL,0,1,1,1,1,1,Two year,0,Mailed check,79.2,2497.2,0,80.55,0.9832,0,0,established,5,1,0
3170-NMYVV,Female,0,1,1,50,1,No,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.15,930.9,0,18.62,1.0822,0,0,loyal,0,0,1
7410-OIEDU,Male,0,0,0,10,1,No,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Mailed check,79.85,887.35,0,88.74,0.8998,0,1,early,2,0,0
2273-QCKXA,Male,0,0,0,1,1,No,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,0,49.05,1.0,0,1,early,1,0,0
0731-EBJQB,Female,0,1,1,52,1,No,No,0,0,0,0,0,0,One year,1,Electronic check,20.4,1090.65,0,20.97,0.9728,0,0,loyal,0,0,0
1891-QRQSA,Male,1,1,1,64,1,Yes,Fiber optic,1,0,1,1,1,1,Two year,1,Bank transfer (automatic),111.6,7099.0,0,110.92,1.0061,1,0,loyal,5,1,1
8028-PNXHQ,Male,0,1,1,62,1,Yes,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.25,1424.6,0,22.98,1.0553,0,0,loyal,0,0,1
5630-AHZIL,Female,0,0,1,3,1,No,DSL,1,0,0,1,0,1,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0,59.13,1.0908,0,1,early,3,1,1
2673-CXQEU,Female,1,0,0,56,1,Yes,Fiber optic,1,1,1,0,1,1,One year,0,Electronic check,110.5,6139.5,0,109.63,1.0079,1,0,loyal,5,1,0
6416-JNVRK,Female,0,0,0,46,1,No,DSL,0,0,0,0,0,1,One year,0,Credit card (automatic),55.65,2688.85,0,58.45,0.9521,0,0,established,1,0,1
5590-ZSKRV,Female,0,1,1,8,1,No,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,54.65,482.25,0,60.28,0.9066,0,1,early,2,0,0
0191-ZHSKZ,Male,1,0,0,30,1,No,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2111.3,0,70.38,1.0621,0,0,established,4,1,0
3887-PBQAO,Female,0,1,1,45,1,Yes,No,0,0,0,0,0,0,One year,1,Credit card (automatic),25.9,1216.6,0,27.04,0.9578,0,0,established,0,0,1
5919-TMRGD,Female,0,0,1,1,1,No,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.35,79.35,1,79.35,1.0,0,1,early,1,0,0
8108-UXRQN,Female,0,1,1,11,0,No phone service,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,50.55,565.35,0,51.4,0.9835,0,1,early,3,1,0
9191-MYQKX,Female,0,1,0,7,1,No,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1,70.99,1.0586,0,1,early,1,0,1
9919-YLNNG,Female,0,0,0,42,1,No,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0,103.04,1.0074,1,0,established,5,1,1
0318-ZOPWS,Female,0,1,0,49,1,No,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.15,973.35,0,19.86,1.0146,0,0,loyal,0,0,1
4445-ZJNMU,Male,0,0,0,9,1,Yes,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.3,918.75,0,102.08,0.9728,1,1,early,3,1,1
4808-YNLEU,Female,0,1,0,35,1,No,DSL,1,0,0,0,1,0,One year,1,Bank transfer (automatic),62.15,2215.45,0,63.3,0.9818,0,0,established,2,0,1
1862-QRWPE,Female,0,1,1,48,1,No,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.65,1057.0,0,22.02,0.9378,0,0,established,0,0,1
2796-NNUFI,Female,0,1,1,46,1,No,No,0,0,0,0,0,0,Two year,1,Mailed check,19.95,927.1,0,20.15,0.9901,0,0,established,0,0,0
3016-KSVCP,Male,0,1,0,29,0,No phone service,DSL,0,0,0,0,1,0,Month-to-month,0,Mailed check,33.75,1009.25,0,34.8,0.9698,0,0,established,1,0,0
4767-HZZHQ,Male,0,1,1,30,1,No,Fiber optic,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0,85.67,0.9577,0,0,established,2,0,1
2424-WVHPL,Male,1,0,0,1,1,No,Fiber optic,0,0,0,1,0,0,Month-to-month,0,Electronic check,74.7,74.7,0,74.7,1.0,0,1,early,1,0,0
7233-PAHHL,Male,0,1,1,66,1,Yes,DSL,1,0,1,1,1,1,Two year,1,Mailed check,84.0,5714.25,0,86.58,0.9702,0,0,loyal,5,1,0
6067-NGCEU,Female,0,0,0,65,1,Yes,Fiber optic,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),111.05,7107.0,0,109.34,1.0156,1,0,loyal,5,1,1
9848-JQJTX,Male,0,0,0,72,1,Yes,Fiber optic,0,1,1,0,1,1,Two year,1,Bank transfer (automatic),100.9,7459.05,0,103.6,0.9739,1,0,loyal,4,1,1
8637-XJIVR,Female,0,0,0,12,1,Yes,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,78.95,927.35,1,77.28,1.0216,0,1,early,1,0,0
9803-FTJCG,Male,0,1,1,71,1,Yes,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.85,4748.7,0,66.88,0.9996,0,0,loyal,3,1,1
0278-YXOOG,Male,0,0,0,5,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,21.05,113.85,1,22.77,0.9245,0,1,early,0,0,0
3212-KXOCR,Male,0,0,0,52,1,No,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),21.0,1107.2,0,21.29,0.9864,0,0,loyal,0,0,1
4598-XLKNJ,Female,1,1,0,25,1,No,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,98.5,2514.5,1,100.58,0.9793,1,0,established,4,1,0
6380-ARCEH,Male,0,0,0,1,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.2,20.2,0,20.2,1.0,0,1,early,0,0,0
3679-XASPY,Female,0,1,1,1,1,No,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.45,19.45,0,19.45,1.0,0,1,early,0,0,0
7123-WQUHX,Male,0,0,0,38,1,Yes,Fiber optic,0,0,1,1,1,0,One year,0,Bank transfer (automatic),95.0,3605.6,0,94.88,1.0013,1,0,established,3,1,1
5386-THSLQ,Female,1,1,0,66,0,No phone service,DSL,0,1,1,0,1,0,One year,0,Bank transfer (automatic),45.55,3027.25,0,45.87,0.993,0,0,loyal,3,1,1
3192-NQECA,Male,0,1,0,68,1,Yes,Fiber optic,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),110.0,7611.85,1,111.94,0.9827,1,0,loyal,5,1,1
6180-YBIQI,Male,0,0,0,5,0,No phone service,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.3,100.2,0,20.04,1.2126,0,1,early,0,0,0
6728-DKUCO,Female,0,1,1,72,1,Yes,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,104.15,7303.05,0,101.43,1.0268,1,0,loyal,4,1,0
9750-BOOHV,Female,0,0,0,32,0,No phone service,DSL,1,0,0,0,0,0,One year,0,Mailed check,30.15,927.65,0,28.99,1.04,0,0,established,1,0,0
8597-CWYHH,Male,0,0,0,43,1,Yes,Fiber optic,0,0,0,0,1,1,One year,0,Mailed check,94.35,3921.3,0,91.19,1.0347,1,0,established,2,0,0
2848-YXSMW,Male,0,1,1,72,1,No,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0,18.93,1.0248,0,0,loyal,0,0,1
0486-HECZI,Male,0,1,0,55,1,Yes,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,96.75,5238.9,1,95.25,1.0157,1,0,loyal,3,1,0
4549-ZDQYY,Female,0,0,0,52,1,No,DSL,1,0,1,1,0,0,One year,0,Credit card (automatic),57.95,3042.25,0,58.5,0.9906,0,0,loyal,3,1,1
5712-AHQNN,Female,0,0,0,43,1,No,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,91.65,3954.1,0,91.96,0.9966,1,0,established,3,1,0
4846-WHAFZ,Female,1,1,0,37,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,76.5,2868.15,1,77.52,0.9868,0,0,established,0,0,0
5256-SKJGO,Female,0,1,1,64,0,No phone service,DSL,0,1,0,1,1,1,Two year,1,Electronic check,54.6,3423.5,0,53.49,1.0208,0,0,loyal,4,1,0
3071-VBYPO,Male,0,1,1,3,1,No,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,89.85,248.4,0,82.8,1.0851,0,1,early,3,1,0
9560-BBZXK,Female,0,0,0,36,0,No phone service,DSL,1,0,0,0,0,0,Two year,0,Bank transfer (automatic),31.05,1126.35,0,31.29,0.9923,0,0,established,1,0,1
5299-RULOA,Female,0,1,1,10,1,Yes,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Electronic check,100.25,1064.65,1,106.46,0.9417,1,1,early,3,1,0
8402-OOOHJ,Female,0,0,0,41,1,No,No,0,0,0,0,0,0,Two year,0,Mailed check,20.65,835.15,0,20.37,1.0137,0,0,established,0,0,0
9445-ZUEQE,Male,0,1,1,27,1,Yes,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Credit card (automatic),85.2,2151.6,0,79.69,1.0691,0,0,established,2,0,1
1091-SOZGA,Female,0,1,1,56,1,Yes,Fiber optic,0,0,1,0,1,1,One year,1,Credit card (automatic),99.8,5515.45,0,98.49,1.0133,1,0,loyal,3,1,1
2928-HLDBA,Female,0,0,0,6,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.7,112.75,0,18.79,1.1016,0,1,early,0,0,0
0404-SWRVG,Male,0,0,0,3,1,Yes,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.4,229.55,1,76.52,0.9723,0,1,early,0,0,0
6497-TILVL,Female,0,1,1,7,1,No,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,50.7,350.35,0,50.05,1.013,0,1,early,1,0,0
7219-TLZHO,Female,0,1,1,4,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,62.9,0,15.72,1.3263,0,1,early,0,0,0
4622-YNKIJ,Male,0,0,0,33,1,No,Fiber optic,1,0,0,1,1,0,Two year,1,Electronic check,88.95,3027.65,0,91.75,0.9695,0,0,established,3,1,0
4412-YLTKF,Female,1,0,0,27,1,Yes,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,78.05,2135.5,1,79.09,0.9869,0,0,established,1,0,0
6734-PSBAW,Male,0,1,0,72,1,Yes,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.55,1723.95,0,23.94,0.9837,0,0,loyal,0,0,1
3930-ZGWVE,Male,0,0,0,1,1,No,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.75,19.75,0,19.75,1.0,0,1,early,0,0,0
2639-UGMAZ,Male,1,0,0,71,0,No phone service,DSL,1,1,0,0,1,1,One year,1,Electronic check,56.45,3985.35,0,56.13,1.0057,0,0,loyal,4,1,0
2876-GZYZC,Female,0,0,0,13,1,Yes,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.95,1215.65,0,93.51,0.9192,0,0,growing,1,0,0
6207-WIOLX,Female,0,1,1,25,0,No phone service,DSL,1,1,1,0,1,1,Month-to-month,1,Credit card (automatic),58.6,1502.65,1,60.11,0.9749,0,0,established,5,1,1
8587-XYZSF,Male,0,0,0,67,1,No,DSL,0,0,0,1,0,0,Two year,0,Bank transfer (automatic),50.55,3260.1,0,48.66,1.0388,0,0,loyal,1,0,1
3091-FYHKI,Male,0,0,0,1,0,No phone service,DSL,0,0,0,0,0,1,Month-to-month,1,Electronic check,35.45,35.45,1,35.45,1.0,0,1,early,1,0,0
2372-HWUHI,Male,0,0,0,2,1,No,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.35,81.25,1,40.62,1.0918,0,1,early,0,0,0
7799-LGRDP,Female,0,0,0,43,1,Yes,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.7,1188.2,0,27.63,0.9301,0,0,established,0,0,1
7850-VWJUU,Female,0,0,0,23,1,No,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0,77.33,0.9699,0,0,growing,1,0,1
3774-VBNXY,Female,0,1,1,64,1,No,No,0,0,0,0,0,0,Two year,0,Mailed check,20.2,1277.75,0,19.96,1.012,0,0,loyal,0,0,0
6217-KDYWC,Male,0,0,1,57,1,No,No,0,0,0,0,0,0,Two year,1,Mailed check,19.6,1170.55,0,20.54,0.9542,0,0,loyal,0,0,0
0390-DCFDQ,Female,1,1,0,1,1,No,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Mailed check,70.45,70.45,1,70.45,1.0,0,1,early,0,0,0
3146-MSEGF,Female,1,1,1,72,1,Yes,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.05,6425.65,0,89.25,0.9866,0,0,loyal,6,1,1
4080-OGPJL,Female,0,0,0,8,1,Yes,DSL,1,0,0,1,0,1,Month-to-month,0,Electronic check,71.15,563.65,1,70.46,1.0098,0,1,early,3,1,0
1095-WGNGG,Female,0,1,0,61,1,Yes,Fiber optic,0,1,0,0,1,1,Two year,1,Bank transfer (automatic),101.05,5971.25,0,97.89,1.0323,1,0,loyal,3,1,1
2636-SJDOU,Male,0,0,0,64,1,Yes,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,0,82.64,1.0201,0,0,loyal,2,0,1
1131-QQZEB,Male,1,1,0,71,1,Yes,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.95,1756.2,0,24.74,0.9681,0,0,loyal,0,0,1
5716-EZXZN,Female,0,1,1,65,1,Yes,Fiber optic,1,1,0,1,1,0,Two year,1,Credit card (automatic),99.05,6416.7,0,98.72,1.0033,1,0,loyal,4,1,1
6837-BJYDQ,Male,0,0,0,3,1,No,No,0,0,0,0,0,0,One year,0,Mailed check,19.6,61.35,0,20.45,0.9584,0,1,early,0,0,0
2135-RXIHG,Male,0,0,0,1,1,No,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.65,45.65,1,45.65,1.0,0,1,early,0,0,0
6440-DKQGE,Male,0,0,1,30,1,No,DSL,0,1,1,0,1,0,One year,0,Credit card (automatic),64.5,1929.95,0,64.33,1.0026,0,0,established,3,1,1
3466-BYAVD,Male,0,1,1,15,1,No,DSL,0,1,1,1,0,1,Month-to-month,1,Mailed check,69.5,1071.4,0,71.43,0.973,0,0,growing,4,1,0
3780-YVMFA,Female,0,1,1,8,1,No,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,68.55,564.35,0,70.54,0.9718,0,1,early,3,1,0
3874-EQOEP,Male,0,0,0,7,1,Yes,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Mailed check,95.0,655.5,1,93.64,1.0145,1,1,early,2,0,0
